dialogue,anger,disgust,fear,joy,neutral,sadness,surprise,loudness
"After all I did for them, they just walked away.",0.074863747,0.082972161,0.002667816,0.00476561,0.814183772,0.007550978,0.012995888,
Remember the good old days? Those were the best.,0.015210202,0.017318012,0.00306735,0.129522696,0.792746425,0.010572482,0.031562742,
I'm trying to figure out why this doesn't make sense.,0.17921719,0.26871562,0.036840383,0.003574675,0.340930253,0.12159808,0.049123734,
I finally finished that difficult task. Phew!,0.034674093,0.041175917,0.003020833,0.492250621,0.111721948,0.16254741,0.154609203,
I'm so sorry to hear about your loss. My condolences.,0.001075852,0.004302812,0.003134288,0.001660176,0.011098944,0.973785698,0.004942142,
I will not give up. I'll keep pushing forward.,0.252196997,0.048772756,0.038484391,0.113042131,0.362154126,0.183555126,0.001794403,
If only I had listened to my instincts.,0.042891495,0.037586894,0.478301138,0.005258225,0.386613399,0.04492889,0.004419948,
Why is the line moving so slowly?,0.025506537,0.020706225,0.022171492,0.00097884,0.203787416,0.006222322,0.720627189,
You actually enjoy doing laundry? Seriously?,0.076378964,0.018625626,0.00204419,0.258996427,0.091484427,0.005377157,0.547093213,
I can't believe this is happening. It's shocking.,0.00494935,0.008411584,0.039177179,0.002033526,0.005579612,0.00245665,0.937392175,
Nothing ever goes the way I want it to.,0.06245489,0.023363296,0.011626715,0.017532524,0.82523483,0.040810391,0.018977404,
This is the happiest day of my life!,0.001273665,0.00088391,0.000241298,0.989331603,0.002880318,0.001648813,0.003740484,
"Oh, wonderful. Another Monday morning.",0.001134277,0.001651497,0.002086649,0.879165053,0.041595899,0.011541526,0.062825009,
I hope things get better soon.,0.00586454,0.007362446,0.004760144,0.15273115,0.650625229,0.163543344,0.015113129,
I thought they would keep their promise.,0.02712678,0.021532681,0.004101656,0.034396164,0.847728908,0.00677917,0.058334619,
Why does technology always fail when you need it most?,0.222060338,0.109015748,0.053189602,0.001831777,0.329431146,0.121686824,0.162784532,
I'm so mad right now. I can't even explain it.,0.831688046,0.057611573,0.01424039,0.004816125,0.033386841,0.037186254,0.021070693,
This won't end well. I'm not optimistic.,0.006041185,0.013401561,0.04420406,0.009162584,0.117195122,0.803039253,0.006956287,
I hope things turn around for you soon. Hang in there.,0.008949279,0.005785218,0.003485832,0.159867361,0.786971211,0.021850321,0.013090843,
"After everything I did for them, they betrayed me.",0.78168565,0.156772271,0.009079446,0.001633141,0.017165503,0.032940608,0.000723512,
Looking at old photos brings back so many memories.,0.002422184,0.011680477,0.002034024,0.234745651,0.683521867,0.035780706,0.029815143,
Why is this taking so long? I'm getting impatient.,0.598856628,0.04620979,0.006102104,0.001724347,0.199201569,0.023688074,0.124217562,
I find it hard to believe that's the whole story.,0.024119372,0.033324189,0.009415936,0.002703952,0.026685996,0.004992841,0.898757696,
I can't contain my excitement! This is amazing news!,0.007683715,0.000822396,0.006263997,0.770117164,0.010641718,0.004289817,0.200181335,
I can't figure this out. It's so frustrating!,0.162845448,0.094391905,0.014221818,0.004124582,0.035190612,0.610713124,0.07851252,
This news fills my heart with joy. I'm so happy for you!,0.000924711,0.000428063,0.000324399,0.987769961,0.001841423,0.002330063,0.006381471,
"I thought they would come through, but they didn't.",0.047487602,0.025624549,0.014491442,0.003429938,0.054976523,0.267380536,0.586609364,
That noise is driving me crazy. Can you please stop?,0.27132073,0.035213966,0.569852948,0.003765224,0.039001886,0.034747314,0.04609789,
I'm truly amazed at what you've accomplished. Wow!,0.004392936,0.002464851,0.001607255,0.002202626,0.008045007,0.001294107,0.979993284,
I can't believe they said that. Are they serious?,0.037036736,0.022791672,0.012281807,0.002617636,0.012088778,0.014747131,0.898436308,
I feel on top of the world right now. This is incredible!,0.015086304,0.004989237,0.01195955,0.38593328,0.061495889,0.003604608,0.516931176,
I'm furious about what happened. It's just not fair!,0.979532421,0.004351653,0.003232002,0.000734254,0.005850067,0.002622316,0.003677343,
Have you ever seen anything so breathtaking?,0.016300797,0.01189172,0.061368357,0.021399656,0.072481938,0.006012346,0.810545146,
I shouldn't have said those things. I really messed up.,0.492713839,0.316458106,0.017594442,0.004008842,0.063969359,0.082020402,0.023235034,
I won't let anything stand in my way. I'm determined!,0.118323766,0.003596621,0.022177627,0.817392051,0.029144935,0.006442636,0.002922331,
I'm here for you. Let me know if there's anything I can do.,0.008979673,0.00395442,0.008740945,0.043263555,0.909531891,0.012797471,0.012732052,
Have you ever seen anything so beautiful?,0.008001314,0.024184525,0.015827002,0.050086014,0.282804281,0.007348787,0.61174804,
You expect me to believe that? Seriously?,0.052440483,0.015245616,0.003152574,0.005775427,0.019143704,0.002227396,0.902014852,
I can't believe you pulled off that surprise. Amazing!,0.005580733,0.00139555,0.001826447,0.01330519,0.006216899,0.001456627,0.970218599,
I can't stop smiling. This is the best day ever!,0.002959953,0.001011796,0.000239943,0.973711252,0.006533426,0.002794951,0.012748709,
That joke was hilarious. I can't stop laughing!,0.018414343,0.011309336,0.001432327,0.895834923,0.030067161,0.00412083,0.038821034,
Could you please stop doing that? It's really irritating.,0.631983042,0.266001821,0.009272232,0.001926998,0.048338003,0.02867849,0.013799375,
I just read the most inspiring quote. It hit me hard.,0.05231376,0.040680125,0.011727189,0.048549797,0.233931273,0.151370659,0.461427182,
I'm in total shock. I never saw that coming.,0.004373237,0.002350932,0.009493838,0.002198142,0.005578378,0.00135043,0.974654973,
I have a feeling this won't end well. I'm not optimistic.,0.004121269,0.008309011,0.010384492,0.02086594,0.096958376,0.855232894,0.004127991,
I'm holding onto hope that things will get better.,0.017079921,0.017288906,0.015865043,0.200070217,0.620405316,0.126933008,0.002357538,
I can't make sense of this. It's like a puzzle.,0.100607581,0.422438681,0.053088833,0.002290667,0.175000384,0.027418125,0.219155803,
I'm astonished by how incredible this is. Unbelievable!,0.006407296,0.003421314,0.004071903,0.00170962,0.008010496,0.001282486,0.975096822,
I'm confused about what just happened. Can you explain?,0.027819019,0.019358942,0.027363341,0.002447139,0.073372193,0.008138799,0.84150058,
I'm filled with anticipation for what's to come.,0.006688735,0.001544022,0.130303249,0.756406605,0.076327376,0.009607248,0.019122791,
I feel inspired to create something amazing. Let's do it!,0.00512753,0.001120957,0.005888045,0.872045994,0.01307497,0.001503289,0.101239152,
I'm skeptical about their intentions. Something's off.,0.004793609,0.005390442,0.897002637,0.002656016,0.063158609,0.003109081,0.023889607,
That was the funniest thing I've heard all day. Haha!,0.002607046,0.006174555,0.000505409,0.952619553,0.024468686,0.001811884,0.011812853,
I'm filled with glee over this fantastic news!,0.001049827,0.000652211,0.000305821,0.99351126,0.001300451,0.0009437,0.002236802,
I didn't see that coming! It took me by surprise.,0.0073534,0.002014839,0.004589272,0.004253433,0.005025143,0.001206328,0.975557566,
This is so disgusting. I can't even look at it.,0.00389824,0.988422334,0.002470314,0.000308879,0.002428936,0.001766898,0.000704544,
Thinking about the past brings back so many memories.,0.002547391,0.007775506,0.0059117,0.650877774,0.127960727,0.166273445,0.038653541,
I feel a sense of relief now that it's over. Thank goodness!,0.000950743,0.001339213,0.000402806,0.989478171,0.003197008,0.003160565,0.001471359,
I'm so sorry you're going through this. I'm here for you.,0.012080546,0.036709882,0.008885581,0.005546872,0.037756085,0.83146292,0.067558147,
I can't believe you pulled that off. It's unbelievable!,0.00968417,0.003773496,0.003223196,0.005805459,0.006358582,0.001628206,0.969526827,
How's it going?,0.041595388,0.0164403,0.014664487,0.004534051,0.516546965,0.019266116,0.386952698,
"Wow, that's incredible!",0.005813983,0.004274376,0.004584105,0.015258442,0.011424193,0.002213335,0.956431568,
Have you ever been to Paris?,0.007844786,0.005834273,0.009074849,0.015362323,0.569000125,0.009602907,0.383280784,
"No way, that's unbelievable!",0.013776153,0.011636024,0.004294604,0.005429133,0.010020774,0.001918326,0.952924967,
What do you think about the new movie?,0.055941731,0.04354712,0.019000521,0.04729794,0.733434677,0.009680886,0.091097124,
I can't believe it's already Friday!,0.008230303,0.002920418,0.002501284,0.002910796,0.00395307,0.003595582,0.97588855,
Why did you choose that career path?,0.038567364,0.009793026,0.042618643,0.004481392,0.654763103,0.012361806,0.237414747,
"Oh, I forgot to mention!",0.032275435,0.068087533,0.007866818,0.012235072,0.098912835,0.138262823,0.642359436,
Did you hear about the latest news?,0.00896656,0.005647871,0.005157828,0.025478389,0.488374799,0.00857319,0.457801402,
This pizza is amazing!,0.004553305,0.005830263,0.003699847,0.72466886,0.14151524,0.004133285,0.115599222,
What's your favorite book?,0.01965045,0.010399949,0.004401513,0.11281611,0.566187263,0.004753128,0.281791627,
I can't wait for the weekend!,0.001565118,0.000417977,0.001234043,0.972916543,0.008281955,0.0034091,0.012175149,
"Seriously? You're joking, right?",0.191588312,0.061964992,0.005298568,0.066769607,0.104171261,0.006480894,0.563726366,
How was your day?,0.006790884,0.004484038,0.009027382,0.007035976,0.542645514,0.035412528,0.39460364,
I'm so excited for the concert!,0.002682473,0.00042262,0.002014294,0.918969154,0.009662305,0.002188258,0.064060941,
Where did you get that idea?,0.078111902,0.01995093,0.007054593,0.007505777,0.14789106,0.00800201,0.731483757,
I'm really proud of your achievements.,0.005607833,0.010088566,0.001652956,0.895272434,0.064816743,0.002946535,0.019614875,
That's a great point you made.,0.006707707,0.006181126,0.001091825,0.680613279,0.275239468,0.003645593,0.026520962,
Why did you decide to learn to play the guitar?,0.039077353,0.010422651,0.063944839,0.009472585,0.564054489,0.013581241,0.299446791,
I just finished a great book.,0.001884321,0.001625778,0.000726327,0.905311108,0.068355881,0.004705665,0.017390897,
You won't believe what happened to me today!,0.368865311,0.070098773,0.03625964,0.00926639,0.015006858,0.015756115,0.484746903,
Any plans for the holidays?,0.010096001,0.006797386,0.009118211,0.038659398,0.602071226,0.181492344,0.151765347,
I can't wrap my head around this concept.,0.039054248,0.068783104,0.037297193,0.004891328,0.456106722,0.043837778,0.350029647,
I'm so happy for you!,0.001921784,0.000486905,0.000492174,0.942298174,0.003797843,0.003470613,0.047532622,
What's your favorite type of music?,0.01674193,0.012275231,0.004243206,0.043618865,0.73859489,0.004262593,0.180263281,
I have a question for you.,0.016699789,0.00802215,0.0049775,0.011956708,0.904038668,0.007437823,0.046867389,
That's a fantastic achievement!,0.006173698,0.002822216,0.002263348,0.884948015,0.036780983,0.002097112,0.064914577,
How do you stay motivated?,0.048445102,0.012321416,0.031243043,0.002600675,0.803940892,0.037392765,0.064056039,
"Oh, I see what you mean.",0.070413157,0.077882171,0.00842819,0.026408402,0.038026422,0.006936226,0.771905422,
I never thought of it that way.,0.023365865,0.028923348,0.009614081,0.004262969,0.052461136,0.004330995,0.877041578,
What's the best advice you've ever received?,0.012974928,0.003942864,0.003968499,0.028362358,0.35233593,0.003278919,0.595136464,
I'm feeling a bit overwhelmed.,0.007766251,0.002311456,0.142597347,0.002886329,0.004617891,0.0023333,0.8374874,
What's the most challenging part of your job?,0.022173621,0.017984852,0.151111186,0.027178081,0.489621341,0.009070086,0.282860845,
"You're kidding me, right?",0.418122381,0.216632679,0.010756884,0.026084071,0.056616243,0.02256451,0.249223188,
I can't believe I finally did it!,0.015131856,0.002107386,0.002355623,0.037337553,0.006447864,0.00275098,0.933868766,
Where did you learn to cook like that?,0.013517437,0.008038725,0.006001193,0.003711539,0.828693211,0.004396114,0.135641769,
What's the secret to your success?,0.030069733,0.006410618,0.019861607,0.009285082,0.699957013,0.004082953,0.230332956,
I'm so impressed with your skills.,0.005694131,0.008192951,0.001909656,0.0026077,0.027996706,0.001982196,0.951616645,
Why did you move to a different city?,0.02668665,0.008469776,0.028136685,0.001974306,0.230136663,0.012180612,0.692415297,
That's a brilliant idea!,0.020679407,0.005079922,0.004395246,0.646526456,0.047933735,0.00273109,0.272654086,
"Can you pass me the salt, please?",0.280264616,0.247665837,0.167295501,0.003390387,0.234104618,0.050953615,0.016325379,
What's the weirdest dream you've ever had?,0.019464927,0.366978168,0.107241273,0.010100213,0.06109396,0.007436223,0.427685231,
"No way, I didn't know that!",0.07147903,0.064318411,0.009455028,0.00560983,0.017301694,0.007577187,0.824258804,
What's your favorite way to relax?,0.01324991,0.007078153,0.002537279,0.167499408,0.751049221,0.010589567,0.047996469,
I need your opinion on something.,0.05321411,0.029574033,0.009749819,0.007559901,0.871327162,0.017884389,0.010690597,
I'm so glad we finally met!,0.001476659,0.000578807,0.000458787,0.962073684,0.005802353,0.002828136,0.026781609,
How do you deal with stress?,0.129805699,0.047945488,0.16893436,0.003511245,0.467790544,0.130650088,0.051362507,
I can't believe I forgot about the meeting!,0.029648323,0.01031518,0.007275407,0.005530769,0.008835115,0.009087782,0.929307401,
You're absolutely right.,0.095127113,0.048143409,0.003179182,0.016830441,0.82363236,0.004991078,0.00809641,
What's the most interesting place you've visited?,0.004386223,0.002941397,0.005832463,0.041750949,0.184150949,0.002275897,0.758662164,
I need help with this math problem.,0.028415518,0.045302004,0.08052709,0.004367147,0.191527471,0.638688982,0.011171731,
That's a crazy story!,0.151111558,0.078727357,0.009368507,0.063723288,0.054385461,0.006204939,0.636478841,
What's your go-to karaoke song?,0.017890634,0.003958731,0.008851866,0.095887721,0.596390903,0.004173154,0.272847027,
I can't believe it's snowing already!,0.016946845,0.008141064,0.005924559,0.002247598,0.005194916,0.008599758,0.952945232,
How did you come up with that idea?,0.036777973,0.006654717,0.009051191,0.006560838,0.194197938,0.004789379,0.741967976,
I'm so excited for the weekend!,0.002893951,0.000477337,0.001538897,0.929179668,0.012671839,0.001977151,0.051261142,
What's the best movie you've seen recently?,0.006489926,0.003013209,0.003442141,0.058430962,0.208181873,0.002965607,0.717476308,
This is a game-changer!,0.066027083,0.011087401,0.012309619,0.325571626,0.125727102,0.004622432,0.454654723,
Where did you find that antique?,0.011061875,0.007481743,0.002829791,0.002853296,0.65717423,0.005945731,0.312653333,
I can't wait to see the finished project.,0.001100258,0.000721525,0.000618793,0.982864738,0.006549645,0.002459513,0.005685469,
What's your favorite childhood memory?,0.017785456,0.0107111,0.004815977,0.028381571,0.711330473,0.003387949,0.223587453,
You've got to be kidding me!,0.402973145,0.168440998,0.00746275,0.024140809,0.037509445,0.024629593,0.334843248,
What's your favorite type of cuisine?,0.007997701,0.009691821,0.002513041,0.027025426,0.895874798,0.002431917,0.05446526,
I'm so proud of your accomplishments.,0.014137543,0.030281248,0.003033697,0.647337437,0.245937973,0.004739223,0.054532878,
Can you believe it's been a year already?,0.010708659,0.005074151,0.002211786,0.002489929,0.012786796,0.002781567,0.963947117,
How did you overcome that obstacle?,0.027072823,0.005443607,0.149842173,0.005623262,0.309890747,0.013115033,0.489012301,
"No way, I never knew that!",0.114150696,0.108059347,0.018901983,0.007259217,0.020674275,0.008485003,0.722469509,
I can't believe I did that.,0.025473256,0.014729741,0.006721656,0.003234501,0.00691821,0.004569447,0.938353181,
What's the most challenging part of your workout routine?,0.014883128,0.012771411,0.040291876,0.039110515,0.480756521,0.006155949,0.406030595,
That's an interesting perspective.,0.004576893,0.012713155,0.00470858,0.126539692,0.645304441,0.005143118,0.201014072,
I'm so grateful for your help.,0.004729221,0.001338486,0.001150943,0.899927914,0.021185167,0.005837161,0.065831102,
Why did you decide to start a blog?,0.06718538,0.006478601,0.082509212,0.037290994,0.341924578,0.014079292,0.45053187,
I'm feeling a bit under the weather.,0.005093522,0.015665822,0.086155273,0.01000101,0.013156125,0.868664265,0.001264012,
What's your favorite hobby?,0.020963993,0.011706759,0.004294657,0.04395923,0.785810411,0.004825505,0.128439397,
You're a lifesaver!,0.08079277,0.019041723,0.006491572,0.455877542,0.17322135,0.00432089,0.260254115,
How did you learn to speak another language?,0.016561413,0.013700276,0.018300992,0.00276409,0.585707545,0.005948503,0.35701713,
I can't believe I ate the whole thing!,0.049635679,0.037265588,0.00776116,0.006644968,0.006519059,0.005495274,0.886678278,
What's your favorite season?,0.022032997,0.01119409,0.002962781,0.100168757,0.639304101,0.005229186,0.21910806,
This is a real game-changer!,0.046051893,0.00617955,0.011913437,0.428827822,0.130903482,0.003337154,0.372786611,
I can't believe it's already dark outside.,0.011858968,0.020956045,0.026701132,0.001637928,0.014338763,0.013336174,0.911170959,
What's the most adventurous thing you've ever done?,0.010255679,0.00666702,0.011253583,0.021435544,0.495554388,0.003148153,0.451685607,
That's a tough situation to be in.,0.017601902,0.12484777,0.145019352,0.007074404,0.621860504,0.061334159,0.022261929,
Why did you choose that color?,0.07109721,0.020169068,0.011710983,0.002435646,0.348896503,0.005676842,0.540013731,
I can't believe I forgot to call you back!,0.029567098,0.011478387,0.006303864,0.004479158,0.010048905,0.019297456,0.91882515,
What's your favorite type of dessert?,0.014027123,0.019889371,0.001843267,0.045462728,0.85159868,0.003607196,0.063571677,
You're absolutely right about that.,0.075937241,0.054139055,0.002957987,0.010682349,0.844908893,0.00334169,0.008032665,
How do you handle criticism?,0.245182261,0.143732563,0.033420365,0.001696425,0.52664119,0.014447146,0.034880102,
I'm so excited for the holidays!,0.002670352,0.000447844,0.001038266,0.940175235,0.010224502,0.002397415,0.04304637,
I can't believe I lost my keys again.,0.034023043,0.014458857,0.038313732,0.003003547,0.010919553,0.148805678,0.750475645,
What's your dream vacation destination?,0.021547912,0.003533742,0.019926511,0.027996844,0.500098407,0.006364862,0.42053169,
That's a great achievement!,0.006297063,0.002611545,0.001061319,0.904801488,0.032643121,0.002095451,0.050490141,
I'm so sorry to hear that.,0.001407493,0.006783249,0.003090827,0.001527324,0.012307436,0.967304647,0.007579113,
What's the best concert you've ever been to?,0.004869067,0.001661769,0.003077307,0.109232485,0.058964901,0.003383834,0.818810582,
You're making a big difference!,0.473526537,0.091543555,0.005704428,0.064725652,0.063318036,0.004817083,0.296364695,
How did you come up with that solution?,0.036311354,0.007338539,0.0108981,0.003200753,0.211160764,0.006873405,0.724217117,
I can't believe I missed the bus!,0.040552635,0.009831587,0.023833713,0.00371963,0.007498929,0.049904179,0.864659309,
What's the most challenging book you've ever read?,0.005603147,0.002891166,0.00944596,0.020103894,0.077333599,0.001414093,0.883208156,
I'm so impressed with your talent.,0.005209722,0.006864766,0.001977443,0.002229873,0.019017665,0.001803615,0.962896943,
I can't believe I met my favorite celebrity!,0.008060526,0.001645645,0.004081854,0.033383582,0.003681049,0.001690241,0.947457075,
Where did you find such a unique gift?,0.007260509,0.002268796,0.002379384,0.005845417,0.148513064,0.002153949,0.83157891,
What's your favorite board game?,0.021059282,0.010641926,0.004287859,0.119954005,0.625186086,0.004874018,0.213996813,
You're really good at this!,0.058041286,0.017113261,0.003580291,0.553533554,0.180128694,0.00786744,0.179735482,
I'm so excited to try this new recipe.,0.001144806,0.000498652,0.000956941,0.970718086,0.007872004,0.001473643,0.017335825,
How did you learn to play the piano?,0.011967679,0.010025365,0.02945889,0.006518785,0.608263493,0.010409645,0.323356181,
I can't believe I finished the marathon!,0.012372358,0.001677189,0.003094194,0.024619056,0.003786209,0.003940291,0.95051074,
What's the most important lesson you've learned in life?,0.02134577,0.008883414,0.011782587,0.016683621,0.766868412,0.003685448,0.170750767,
I'm so proud of your perseverance.,0.019920517,0.033728935,0.003958756,0.495856166,0.376672417,0.005287271,0.064575963,
You're absolutely crushing it!,0.444128931,0.308911979,0.01460743,0.005116677,0.015563426,0.012439908,0.19923158,
I can't believe I made it to the top.,0.008144595,0.002101997,0.003184887,0.005530805,0.004006227,0.002170724,0.974860787,
What's your favorite type of art?,0.016637687,0.012470464,0.003646963,0.032633122,0.80384177,0.002863759,0.127906278,
How do you stay so positive?,0.034018748,0.020385064,0.012191528,0.003862628,0.665823102,0.009324535,0.254394382,
I'm so glad we finally caught up.,0.00125912,0.00066274,0.00031849,0.970603108,0.006828101,0.003440458,0.016887911,
I can't believe I forgot your birthday!,0.03593928,0.012096727,0.004420404,0.005718077,0.008759514,0.013440802,0.919625223,
What's the most challenging hike you've ever done?,0.009057443,0.004926055,0.019446075,0.016623329,0.15768747,0.003200717,0.789058924,
I'm so grateful for your support.,0.005235185,0.00142758,0.001064306,0.896950185,0.019648381,0.005413766,0.070260562,
Why did you decide to start a podcast?,0.06053257,0.00897326,0.073861025,0.02754201,0.452187598,0.009157191,0.367746323,
You're really making a difference!,0.180302769,0.027503226,0.005323455,0.250838399,0.091210574,0.005032427,0.439789206,
I can't believe I aced that exam!,0.05915596,0.014262582,0.017177667,0.008876407,0.007915587,0.012717891,0.879893959,
What's the most surprising fact you know?,0.003907116,0.001785534,0.001944195,0.004169334,0.008384267,0.000813587,0.978995919,
I'm so excited to see you again.,0.001351568,0.000512052,0.001213078,0.944068134,0.012503649,0.002420929,0.037930738,
How did you learn to code?,0.026919903,0.011624672,0.023733595,0.004431867,0.69556433,0.005760445,0.23196514,
I can't believe I survived that experience!,0.012635442,0.001811447,0.004482682,0.059468567,0.006756377,0.002979717,0.911865771,
What's your favorite type of coffee?,0.012533689,0.012311585,0.003113221,0.024570163,0.862548351,0.003525191,0.081397779,
I'm so proud of your achievements.,0.010738977,0.023134504,0.003081948,0.773257613,0.146471381,0.004329391,0.038986169,
Why did you choose that university?,0.057387721,0.009403172,0.038851492,0.006141288,0.423610002,0.00756332,0.457042992,
I can't believe I broke my phone.,0.088955499,0.01794059,0.066369303,0.004629936,0.008932021,0.043735899,0.769436836,
I'm so impressed with your dedication.,0.005849744,0.008144676,0.001749143,0.002066314,0.020733124,0.001746693,0.9597103,
How did you come up with that business idea?,0.035829999,0.006661129,0.014460734,0.008795479,0.333153456,0.00572481,0.595374346,
I can't believe I missed the deadline!,0.059421066,0.010024362,0.008715569,0.003917675,0.005984981,0.058743447,0.853192925,
You're really talented at this!,0.069661498,0.023158338,0.003034788,0.103738502,0.084593453,0.005664838,0.710148573,
Why did you decide to become a teacher?,0.084694542,0.015406562,0.12220078,0.013109881,0.381793559,0.016577352,0.366217315,
I can't believe I locked myself out.,0.17810522,0.044724688,0.105100922,0.006318781,0.010999833,0.073821209,0.580929339,
What's the most interesting documentary you've watched?,0.004991628,0.003899287,0.004954667,0.03245971,0.243715018,0.001780293,0.708199441,
I'm so proud of your hard work.,0.017818011,0.032015752,0.003702211,0.537142992,0.359428555,0.005182611,0.044709899,
How did you learn to dance?,0.013421727,0.012006387,0.030625775,0.006951961,0.635972321,0.008107664,0.292914152,
I can't believe I forgot our anniversary!,0.02912348,0.011175248,0.005642068,0.004873844,0.010597906,0.019227358,0.919360042,
What's your favorite type of movie?,0.019460112,0.015169996,0.005913092,0.119252898,0.623853266,0.004612134,0.211738527,
You're really nailing this!,0.198799282,0.060748499,0.00451842,0.049157061,0.0373675,0.005921244,0.64348805,
I'm so grateful for your advice.,0.006944026,0.00190036,0.001090938,0.838825345,0.037044406,0.007580949,0.106613979,
Why did you choose that major?,0.080403104,0.016567981,0.022791645,0.002653987,0.249647215,0.005704917,0.622231126,
I can't believe I slept through my alarm!,0.045260988,0.009865597,0.025919857,0.004421824,0.007525963,0.009015649,0.897990108,
What's the most challenging puzzle you've solved?,0.021389579,0.005985762,0.011441837,0.009757143,0.521319747,0.00355193,0.426554024,
I'm so impressed with your creativity.,0.00522335,0.00534852,0.001842003,0.002738783,0.02112099,0.001621276,0.962105095,
How did you come up with that invention?,0.027725112,0.00661991,0.007296436,0.003754707,0.163117945,0.004411718,0.787074149,
I can't believe I won the lottery!,0.011049218,0.001218221,0.002618495,0.029145923,0.00409052,0.003093052,0.94878459,
Why did you choose that color for your car?,0.048749417,0.016215611,0.01306622,0.002535616,0.669512212,0.00655934,0.243361592,
I can't believe I forgot to water the plants!,0.046333078,0.025695607,0.009473844,0.005232796,0.012386579,0.020336181,0.88054198,
What's the most challenging project you've worked on?,0.011169535,0.005925347,0.015247139,0.016879927,0.377658546,0.003475759,0.569643736,
I'm so excited for your new job.,0.001505489,0.000481842,0.001339679,0.94587034,0.009724427,0.001934163,0.039144073,
How did you learn to play the drums?,0.017747339,0.018095611,0.017186126,0.005257347,0.726408362,0.008407773,0.206897527,
I can't believe I finished the puzzle!,0.016023537,0.002852674,0.0037864,0.016707284,0.003844519,0.003536167,0.953249395,
What's your favorite type of technology?,0.016810743,0.011027882,0.003292085,0.032266114,0.791131973,0.003129268,0.142341927,
You're really excelling at this!,0.082084924,0.020896915,0.002617312,0.209112093,0.149578989,0.005906158,0.529803634,
I'm so grateful for your friendship.,0.008565329,0.002430743,0.000911061,0.835811675,0.034724608,0.008097967,0.10945861,
Why did you decide to run a marathon?,0.030752007,0.005394798,0.041191861,0.011220818,0.451972216,0.013314426,0.446153849,
I can't believe I lost my passport!,0.080195531,0.014386361,0.014141979,0.003090223,0.006833612,0.142564386,0.73878783,
What's the most challenging class you've taken?,0.0126636,0.006340341,0.010147346,0.015375577,0.613567173,0.00279519,0.339110851,
I'm so impressed with your leadership.,0.005165847,0.007779659,0.001934309,0.002010275,0.020811884,0.001699285,0.960598707,
How did you come up with that marketing strategy?,0.031261109,0.007229638,0.011533863,0.004031059,0.350652933,0.005081363,0.590210021,
I can't believe I got the promotion!,0.015650406,0.002367844,0.002703843,0.015447876,0.00366797,0.003468664,0.956693351,
What's your favorite type of exercise?,0.016388861,0.0142034,0.005047757,0.036011409,0.819895923,0.004475468,0.103977151,
I'm so proud of your dedication.,0.021060392,0.038505692,0.003745709,0.45535332,0.385375023,0.00584416,0.090115726,
Why did you choose that hairstyle?,0.059402622,0.015996927,0.014158844,0.002454697,0.48003155,0.005512766,0.422442555,
